Histories;Repetitions;Mod. mean;Mod. std.;Abs. mean;Abs. std.;Ref. mean;Ref. std.;Esc. mean;Esc. std.;Relative mod. mean;Relative mod. std.;Relative abs. mean;Relative abs. std.;Relative ref. mean;Relative ref. std.;Relative esc. mean;Relative esc. std.
10000;1;2.90000e+001;0.00000e+000;4.62700e+003;0.00000e+000;7.47400e+003;0.00000e+000;1.94000e+002;0.00000e+000;2.35313e-003;0.00000e+000;3.75446e-001;0.00000e+000;6.06459e-001;0.00000e+000;1.57416e-002;0.00000e+000
10000;10;2.06000e+001;5.69167e-001;4.61860e+003;4.97058e+000;7.41020e+003;5.73161e+000;2.05400e+002;1.36373e+000;1.68060e-003;4.61999e-005;3.76880e-001;3.70355e-004;6.04678e-001;4.21010e-004;1.67616e-002;1.12447e-004
10000;100;1.92800e+001;4.64444e-002;4.64296e+003;8.24477e-001;7.38561e+003;5.68379e-001;2.11640e+002;1.43246e-001;1.57259e-003;3.78650e-006;3.78704e-001;4.63709e-005;6.02459e-001;4.87792e-005;1.72641e-002;1.17262e-005
